Title,Release_Date,Expired_Date,Document_Number,Document_Type,Activity_Code,Clinical_Trials,URL
NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed),11/5/2018,1/8/2022,PA-19-052,PA,R03,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-052.html
Research Project Grant (Parent R01 Clinical Trial Required),11/5/2018,1/8/2022,PA-19-055,PA,R01,Required,https://grants.nih.gov/grants/guide/pa-files/PA-19-055.html
Research Project Grant (Parent R01 Clinical Trial Not Allowed),11/5/2018,1/8/2022,PA-19-056,PA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-056.html
NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Not Allowed),11/5/2018,1/8/2022,PA-19-053,PA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-053.html
NIH Exploratory/Developmental Research Grant Program (Parent R21 Clinical Trial Required),11/5/2018,1/8/2022,PA-19-054,PA,R21,Required,https://grants.nih.gov/grants/guide/pa-files/PA-19-054.html
Collaborative Study on the Genetics of Alcoholism (COGA) (Clinical Trial Not Allowed U10),11/5/2018,1/17/2019,RFA-AA-19-001,RFA,U10,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AA-19-001.html
Optimization of Non-addictive Therapies [Small Molecules and Biologics] to Treat Pain (UG3/UH3 Clinical Trial Not Allowed),11/5/2018,3/7/2019,RFA-NS-19-010,RFA,UG3/UH3,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-19-010.html
Alzheimer's Disease Research Centers (P30 Clinical Trial Not Allowed),11/2/2018,4/26/2019,RFA-AG-20-004,RFA,P30,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-20-004.html
Emerging Global Leader Award (K43 Independent Clinical Trial Required),11/2/2018,11/5/2020,PAR-19-051,PAR,K43,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-19-051.html
"Engaging Men in HIV Testing, Prevention, and Care (R21 Clinical Trial Optional)",11/1/2018,9/8/2021,PA-19-050,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-19-050.html
"Engaging Men in HIV Testing, Prevention, and Care (R01 Clinical Trial Optional)",11/1/2018,9/8/2021,PA-19-042,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-19-042.html
New Research Directions that Advance the NHLBI Strategic Vision  Normal Biology (R21 - Clinical Trial Not Allowed),11/1/2018,1/8/2022,PA-19-049,PA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-049.html
"NHLBI TOPMed:  Omics Phenotypes of Heart, Lung, and Blood Disorders (X01 - Clinical Trial Not Allowed)",11/1/2018,10/19/2019,PAR-19-048,PAR,X01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-19-048.html
Accelerating Colorectal Cancer Screening and follow-up through Implementation Science (ACCSIS)(UG3/UH3 Clinical Trial Required),11/1/2018,2/12/2019,RFA-CA-19-018,RFA,UG3/UH3,Required,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-19-018.html
Human Islet Research Network - Consortium on Targeting and Regeneration (HIRN-CTAR) (U01 Clinical Trial Not Allowed),10/31/2018,2/27/2019,RFA-DK-18-014,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-014.html
Immuno-Oncology Translation Network (IOTN): Cancer Immunotherapy Research Projects (U01 Clinical Trial Not Allowed),10/31/2018,2/9/2019,RFA-CA-19-015,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-19-015.html
Immuno-Oncology Translation Network (IOTN): Cancer Immunoprevention Research Projects (U01 Clinical Trial Not Allowed),10/31/2018,2/9/2019,RFA-CA-19-014,RFA,U01,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-19-014.html
Immuno-Oncology Translation Network (IOTN): Immuno-engineering to Improve Immunotherapy (i3) Centers (U54 Clinical Trial Not Allowed),10/31/2018,2/12/2019,RFA-CA-19-013,RFA,U54,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-19-013.html
Immuno-Oncology Translation Network (IOTN): Cancer Immunoprevention Research Projects (UG3/UH3),10/31/2018,2/12/2019,RFA-CA-19-012,RFA,UG3/UH3,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-19-012.html
Novel Approaches for Relating Genetic Variation to Function and Disease (R43/R44 Clinical Trial Not Allowed),10/31/2018,9/6/2021,PA-19-043,PA,R43/R44,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-19-043.html
Advancing Research in Augmentative and Alternative Communication (AAC) (R21 Clinical Trial Optional),10/31/2018,1/8/2022,PA-19-046,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-19-046.html
Advancing Research in Augmentative and Alternative Communication (AAC) (R01 Clinical Trial Optional),10/31/2018,1/8/2022,PA-19-047,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-19-047.html
End-of-Life and Palliative Care Approaches to Advanced Signs and Symptoms (R01 Clinical Trial Optional),10/31/2018,1/8/2022,PAR-19-045,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-19-045.html
End-of-Life and Palliative Care Approaches to Advanced Signs and Symptoms (R21- Clinical Trial Optional),10/31/2018,1/8/2022,PAR-19-044,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-19-044.html
Demography and Economics of Aging and AD-ADRD Coordinating Center (R24 Clinical Trial Not Allowed),10/30/2018,6/4/2019,RFA-AG-20-003,RFA,R24,Not_Allowed,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-20-003.html
Centers on the Demography and Economics of Alzheimer's Disease and Alzheimer's Related Dementias (P30 Clinical Trial Optional),10/30/2018,6/4/2019,RFA-AG-20-002,RFA,P30,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-20-002.html
Centers on the Demography and Economics of Aging (P30 Clinical Trial Optional),10/30/2018,6/4/2019,RFA-AG-20-001,RFA,P30,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AG-20-001.html
Promoting Research on Music and Health: Fundamentals and Applications (R21 Clinical Trials Optional),10/30/2018,3/1/2019,RFA-NS-19-009,RFA,R21,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-19-009.html
Promoting Research on Music and Health: Fundamentals and Applications (R01 Clinical Trials Optional),10/30/2018,3/1/2019,RFA-NS-19-008,RFA,R01,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-19-008.html
Promoting Research on Music and Health: Phased Innovation Award for Music Interventions (R61/R33 Clinical Trial Optional),10/30/2018,3/1/2019,RFA-AT-19-001,RFA,R61/R33,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-19-001.html
